,date,value,SMA,WMA,EMA
6582,1991-08-22,5.47,5.602,5.530142857142857,5.584540084825404
6583,1991-08-23,5.55,5.5885,5.525190476190476,5.58125055293727
6584,1991-08-26,5.59,5.576,5.525333333333333,5.582083833609912
6585,1991-08-27,5.58,5.5625,5.525714285714285,5.58188537326611
6586,1991-08-28,5.51,5.5465,5.520714285714287,5.5750391472407665
6587,1991-08-29,5.5,5.5315,5.516285714285715,5.5678925617892645
6588,1991-08-30,5.5,5.522,5.513285714285714,5.56142660352362
6589,1991-09-02,5.5,5.5120000000000005,5.5111904761904755,5.555576450807085
6590,1991-09-03,5.5,5.5085,5.5100476190476195,5.550283455492124
6591,1991-09-04,5.5,5.5075,5.5092380952380955,5.545494554969065
6592,1991-09-05,5.5,5.5075,5.508523809523809,5.541161740210106
6593,1991-09-06,5.47,5.505000000000001,5.504952380952382,5.534384431618668
6594,1991-09-09,5.44,5.501,5.4987619047619045,5.525395438131175
6595,1991-09-10,5.43,5.496499999999999,5.492,5.5163101583091585
6596,1991-09-11,5.42,5.4925,5.484714285714286,5.507137762279715
6597,1991-09-12,5.38,5.4864999999999995,5.474,5.4950294039673615
6598,1991-09-13,5.35,5.48,5.460999999999999,5.481217079779994
6599,1991-09-16,5.32,5.4719999999999995,5.4457619047619055,5.465863072181899
6600,1991-09-17,5.35,5.4670000000000005,5.434142857142858,5.454828493878861
6601,1991-09-18,5.32,5.459,5.420142857142858,5.4419876849380175
6602,1991-09-19,5.35,5.453,5.409761904761904,5.433226953039158
6603,1991-09-20,5.34,5.4425,5.399,5.424348195606857
6604,1991-09-23,5.34,5.43,5.389238095238095,5.4163150341204895
6605,1991-09-24,5.31,5.4165,5.377809523809524,5.406189792775681
6606,1991-09-25,5.32,5.406999999999999,5.368619047619047,5.397981241082759
6607,1991-09-26,5.31,5.397499999999999,5.359380952380953,5.389602075265353
6608,1991-09-27,5.33,5.388999999999999,5.35295238095238,5.383925687144843
6609,1991-09-30,5.38,5.383,5.352095238095238,5.383551812178668
6610,1991-10-01,5.33,5.374499999999999,5.347047619047618,5.3784516395902235
6611,1991-10-02,5.31,5.365,5.3409047619047625,5.371932435819726
6612,1991-10-03,5.3,5.3549999999999995,5.334714285714286,5.365081727646419
6613,1991-10-04,5.22,5.342499999999999,5.3218571428571435,5.351264420251521
6614,1991-10-07,5.19,5.33,5.307333333333333,5.33590590403709
6615,1991-10-08,5.2,5.3185,5.294952380952381,5.322962484604986
6616,1991-10-09,5.22,5.3085,5.285571428571427,5.313156533690226
6617,1991-10-10,5.23,5.301,5.278095238095237,5.305236863814965
6618,1991-10-11,5.2,5.2935,5.268476190476191,5.295214305356398
6619,1991-10-14,5.175000000000001,5.286250000000001,5.257190476190476,5.283765323893883
6620,1991-10-15,5.15,5.276249999999999,5.244214285714286,5.271025769237323
6621,1991-10-16,5.15,5.26775,5.232190476190475,5.259499505500434
6622,1991-10-17,5.19,5.2597499999999995,5.224785714285715,5.252880504976583
6623,1991-10-18,5.2,5.252750000000001,5.219095238095239,5.247844266407386
6624,1991-10-21,5.25,5.2482500000000005,5.2188333333333325,5.248049574368587
6625,1991-10-22,5.26,5.24575,5.219952380952381,5.249187710143007
6626,1991-10-23,5.25,5.24225,5.220357142857142,5.249265071081767
6627,1991-10-24,5.21,5.23725,5.217285714285714,5.245525540502552
6628,1991-10-25,5.21,5.23125,5.214690476190476,5.242142155692785
6629,1991-10-28,5.2,5.22225,5.211714285714286,5.238128617055377
6630,1991-10-29,5.15,5.21325,5.204833333333332,5.229735415431056
6631,1991-10-30,5.1,5.20275,5.194047619047619,5.2173796615804795
6632,1991-10-31,5.03,5.1892499999999995,5.177595238095237,5.199533979525196
6633,1991-11-01,4.95,5.17575,5.154809523809523,5.175768838618034
6634,1991-11-04,4.95,5.16375,5.133309523809523,5.1542670444639365
6635,1991-11-05,4.95,5.15125,5.11295238095238,5.134813040229276
6636,1991-11-06,4.84,5.13225,5.083309523809524,5.106735607826487
6637,1991-11-07,4.83,5.11225,5.054523809523809,5.080379835652536
6638,1991-11-08,4.83,5.093750000000001,5.027642857142856,5.056534137018962
6639,1991-11-11,4.83,5.0765,5.002523809523808,5.03495945730287
6640,1991-11-12,4.83,5.0605,4.979047619047619,5.015439508988311
6641,1991-11-13,4.9,5.048,4.963761904761904,5.004445270037043
6642,1991-11-14,4.88,5.032500000000001,4.947761904761906,4.992593339557325
6643,1991-11-15,4.88,5.0165,4.933238095238095,4.981870164361389
6644,1991-11-18,4.88,4.998,4.920238095238096,4.97216824394602
6645,1991-11-19,4.85,4.9775,4.906142857142857,4.960533173094018
6646,1991-11-20,4.86,4.958,4.894952380952382,4.9509585851803015
6647,1991-11-21,4.8,4.9375,4.879904761904763,4.936581577067892
6648,1991-11-22,4.8,4.917,4.866809523809524,4.92357380782333
6649,1991-11-25,4.77,4.8955,4.852809523809524,4.908947730887776
6650,1991-11-26,4.78,4.877,4.841809523809523,4.896666994612749
6651,1991-11-27,4.84,4.864,4.838285714285715,4.891270137982963
6652,1991-11-28,4.779999999999999,4.8515,4.830285714285715,4.880672981984586
6653,1991-11-29,4.72,4.84,4.8177619047619045,4.865370793224149
6654,1991-12-02,4.73,4.829,4.8072857142857135,4.852478336726611
6655,1991-12-03,4.73,4.818,4.7978571428571435,4.8408137332288375
6656,1991-12-04,4.7,4.811,4.786619047619047,4.827402901492758
6657,1991-12-05,4.67,4.802999999999999,4.773190476190476,4.8124121489696385
6658,1991-12-06,4.5,4.786499999999999,4.7443333333333335,4.78265861097253
6659,1991-12-09,4.42,4.766,4.709428571428571,4.7481196956418135
6660,1991-12-10,4.42,4.7455,4.6764761904761905,4.716870200818784
6661,1991-12-11,4.43,4.7219999999999995,4.6464285714285705,4.689549229312233
6662,1991-12-12,4.42,4.699,4.617666666666667,4.663877874139639
6663,1991-12-13,4.4,4.675,4.589190476190477,4.638746648031102
6664,1991-12-16,4.42,4.652,4.564904761904761,4.617913633932901
6665,1991-12-17,4.4,4.6295,4.540904761904762,4.597159954510721
6666,1991-12-18,4.4,4.6065,4.519047619047618,4.57838281598589
6667,1991-12-19,4.42,4.5875,4.501285714285714,4.563298738272948
6668,1991-12-20,4.13,4.554,4.457714285714285,4.522032191770762
6669,1991-12-23,4.25,4.528,4.428761904761904,4.49612436398307
6670,1991-12-24,4.32,4.505000000000001,4.408952380952381,4.479350615032302
6671,1991-12-25,4.36,4.481,4.395142857142858,4.46798388979113
